系统负载异常值报告
==================================================

生成时间: 2025-03-24 22:56:33


● CPU Group 1:
    - 2024-06-25 10:00:00: 4024.77% (极端异常)

● GPU Group 2:
  检测到 6123 个异常值 (高于 51.50%)
  最高的 20 个异常值:
    - 2024-11-15 09:00:00: 15281.47% (极端异常)
    - 2024-11-15 08:00:00: 15245.76% (极端异常)
    - 2024-11-15 07:00:00: 15216.95% (极端异常)
    - 2024-11-15 06:00:00: 15178.02% (极端异常)
    - 2024-11-15 05:00:00: 15144.21% (极端异常)
    - 2024-11-15 04:00:00: 15110.94% (极端异常)
    - 2024-11-15 03:00:00: 15075.74% (极端异常)
    - 2024-11-15 02:00:00: 15042.03% (极端异常)
    - 2024-11-15 01:00:00: 15005.68% (极端异常)
    - 2024-11-15 00:00:00: 14972.15% (极端异常)
    - 2024-11-14 23:00:00: 14937.85% (极端异常)
    - 2024-11-14 22:00:00: 14904.52% (极端异常)
    - 2024-11-14 21:00:00: 14870.64% (极端异常)
    - 2024-11-14 20:00:00: 14836.06% (极端异常)
    - 2024-11-14 19:00:00: 14801.68% (极端异常)
    - 2024-11-14 18:00:00: 14767.22% (极端异常)
    - 2024-11-14 17:00:00: 14733.73% (极端异常)
    - 2024-11-14 16:00:00: 14698.88% (极端异常)
    - 2024-11-14 15:00:00: 14664.27% (极端异常)
    - 2024-11-14 14:00:00: 14630.74% (极端异常)

● GPU Group 3:
  检测到 5671 个异常值 (高于 69.46%)
  最高的 20 个异常值:
    - 2024-09-17 19:00:00: 16593.24% (极端异常)
    - 2024-09-17 13:00:00: 15940.61% (极端异常)
    - 2024-09-17 11:00:00: 15878.46% (极端异常)
    - 2024-09-17 15:00:00: 15756.25% (极端异常)
    - 2024-09-17 16:00:00: 15692.49% (极端异常)
    - 2024-09-17 17:00:00: 15669.87% (极端异常)
    - 2024-09-17 14:00:00: 15657.60% (极端异常)
    - 2024-09-17 18:00:00: 15546.90% (极端异常)
    - 2024-09-17 12:00:00: 15462.53% (极端异常)
    - 2024-09-17 10:00:00: 14950.21% (极端异常)
    - 2024-07-18 06:00:00: 14003.63% (极端异常)
    - 2024-07-18 05:00:00: 13981.42% (极端异常)
    - 2024-07-18 04:00:00: 13959.80% (极端异常)
    - 2024-07-18 03:00:00: 13936.93% (极端异常)
    - 2024-07-18 02:00:00: 13913.28% (极端异常)
    - 2024-07-18 01:00:00: 13891.80% (极端异常)
    - 2024-07-18 00:00:00: 13868.37% (极端异常)
    - 2024-07-17 23:00:00: 13846.80% (极端异常)
    - 2024-07-17 22:00:00: 13823.83% (极端异常)
    - 2024-07-17 21:00:00: 13801.59% (极端异常)

● Big Memory Servers:
  检测到 11262 个异常值 (高于 5.27%)
  最高的 20 个异常值:
    - 2024-09-24 23:00:00: 6877.65% (极端异常)
    - 2024-09-29 02:00:00: 6791.10% (极端异常)
    - 2024-09-25 13:00:00: 6767.09% (极端异常)
    - 2024-09-24 19:00:00: 6766.50% (极端异常)
    - 2024-09-25 14:00:00: 6760.34% (极端异常)
    - 2024-09-25 18:00:00: 6752.22% (极端异常)
    - 2024-09-28 07:00:00: 6751.12% (极端异常)
    - 2024-09-24 18:00:00: 6747.95% (极端异常)
    - 2024-09-25 07:00:00: 6743.88% (极端异常)
    - 2024-10-01 05:00:00: 6741.17% (极端异常)
    - 2024-09-27 07:00:00: 6736.75% (极端异常)
    - 2024-09-24 21:00:00: 6732.94% (极端异常)
    - 2024-09-25 15:00:00: 6730.36% (极端异常)
    - 2024-09-24 20:00:00: 6717.10% (极端异常)
    - 2024-09-24 22:00:00: 6697.77% (极端异常)
    - 2024-09-27 20:00:00: 6695.58% (极端异常)
    - 2024-09-30 23:00:00: 6695.25% (极端异常)
    - 2024-09-26 15:00:00: 6692.07% (极端异常)
    - 2024-09-25 03:00:00: 6690.69% (极端异常)
    - 2024-09-24 17:00:00: 6685.49% (极端异常)

● Inference Servers:
  检测到 296 个异常值 (高于 3.10%)
  最高的 20 个异常值:
    - 2024-06-20 08:00:00: 106.68% (异常)
    - 2024-06-20 08:00:00: 38.34% (异常)
    - 2024-06-20 04:00:00: 30.02% (异常)
    - 2024-06-20 05:00:00: 29.00% (异常)
    - 2024-06-20 10:00:00: 28.83% (异常)
    - 2024-06-20 07:00:00: 27.86% (异常)
    - 2024-06-20 06:00:00: 27.36% (异常)
    - 2024-06-20 07:00:00: 26.44% (异常)
    - 2024-06-20 06:00:00: 26.41% (异常)
    - 2024-06-20 04:00:00: 26.21% (异常)
    - 2024-06-20 10:00:00: 24.69% (异常)
    - 2024-06-20 05:00:00: 24.23% (异常)
    - 2024-08-23 15:00:00: 10.31% (异常)
    - 2024-08-26 22:00:00: 9.58% (异常)
    - 2024-03-10 22:00:00: 9.32% (异常)
    - 2024-08-16 11:00:00: 9.00% (异常)
    - 2024-03-18 22:00:00: 8.71% (异常)
    - 2025-01-14 00:00:00: 8.70% (异常)
    - 2024-08-24 20:00:00: 8.40% (异常)
    - 2025-01-07 03:00:00: 8.40% (异常)

● Training Servers:
  检测到 9724 个异常值 (高于 4.68%)
  最高的 20 个异常值:
    - 2024-08-19 15:00:00: 158.90% (异常)
    - 2024-06-20 08:00:00: 108.04% (异常)
    - 2025-01-13 03:00:00: 98.21% (异常)
    - 2025-01-13 02:00:00: 95.81% (异常)
    - 2024-04-17 14:00:00: 95.40% (异常)
    - 2025-01-11 00:00:00: 88.91% (异常)
    - 2024-06-20 08:00:00: 88.75% (异常)
    - 2025-01-12 12:00:00: 84.20% (异常)
    - 2024-06-20 08:00:00: 83.15% (异常)
    - 2024-08-19 16:00:00: 82.80% (异常)
    - 2025-01-13 01:00:00: 82.49% (异常)
    - 2025-01-12 10:00:00: 80.49% (异常)
    - 2025-01-14 08:00:00: 80.06% (异常)
    - 2025-01-16 11:00:00: 78.98% (异常)
    - 2024-06-18 09:00:00: 78.98% (异常)
    - 2024-08-06 05:00:00: 78.73% (异常)
    - 2025-01-17 04:00:00: 78.41% (异常)
    - 2024-12-18 09:00:00: 77.35% (异常)
    - 2024-08-15 11:00:00: 76.04% (异常)
    - 2024-08-05 14:00:00: 74.58% (异常)
